NGO,Counsel,Weight
"Association québécoise des cadres scolaires, Association québécoise du personnel de direction des écoles et la Fédération québécoise des directions d’établissement d’enseignement",Michel Gilbert,1
"Association québécoise des cadres scolaires, Association québécoise du personnel de direction des écoles et la Fédération québécoise des directions d’établissement d’enseignement",Pierre Brun,1
Association québécoise pour le droit de mourir dans la dignité,Jason B. Gratl,1
Athabasca Chipewyan First Nation,Amir Attaran,1
Athabasca Chipewyan First Nation,Eamon Murphy,1
Athabasca Chipewyan First Nation,Matt Hulse,1
Athabasca Chipewyan First Nation,Tara McDonald,1
"Aubut, Carole",Richard Morin,1
Aéroports de Montréal and Aéroport de Québec inc.,Elizabeth Cullen,1
Aéroports de Montréal and Aéroport de Québec inc.,Mathieu Quenneville,1
B.C. General Employees' Union,Jitesh M. Mistry,1
B.C. General Employees' Union,Thom Yachnin,1
BC LGBTQ Coalition,Elin Sigurdson,1
BC LGBTQ Coalition,Karey Brooks,1
BC LGBTQ Coalition,Robert Freedman,1
BIOTECanada,Anthony G. Creber,1
BIOTECanada,John Norman,1
BIOTECanada,Wendy Wagner,1
Bally Gaming Canada Ltd. and Bally Gaming Inc.,Michael D. Lipton (QC),1
Bally Gaming Canada Ltd. and Bally Gaming Inc.,Paul D. Dicks (QC),1
Band Members Alliance and Advocacy Association of Canada,Ian Knapp,1
"Baptiste, Debbie",Christopher Murphy,1
"Barbara Hall, David Miller and John Sewell",Howard Goldblatt,1
Barbra Schlifer Commemorative Clinic,Brydie Bethell,1
Barbra Schlifer Commemorative Clinic,Deepa Mattoo,1
Barbra Schlifer Commemorative Clinic,Janet MacEachern,1
Barbra Schlifer Commemorative Clinic,Joanna Birenbaum,4
Barbra Schlifer Commemorative Clinic,Michael Kotrly,1
Barbra Schlifer Commemorative Clinic,Neha Chugh,1
Barbra Schlifer Commemorative Clinic,Rahool P. Agarwal,1
Barbra Schlifer Commemorative Clinic,Susan M. Chapman,1
Barbra Schlifer Commemorative Clinic,Tiffany Lau,1
Barbra Schlifer Commemorative Clinic,Vasuda Sinha,1
Barbra Schlifer Commemorative Clinic and Canadian Centre for Victims of Torture,Alyssa Manning,1
Barbra Schlifer Commemorative Clinic and Canadian Centre for Victims of Torture,Aviva Basman,1
Barbra Schlifer Commemorative Clinic and Canadian Centre for Victims of Torture,Rathika Vasavithasan,1
Barreau du Québec,André-Philippe Mallette,3
Barreau du Québec,Babak Barin,2
Barreau du Québec,Frédéric Côté,1
Barreau du Québec,Gaston Gauthier,1
Barreau du Québec,Guillaume Laberge,1
Barreau du Québec,Loïc Berdnikoff,1
Barreau du Québec,Marco LaBrie,1
Barreau du Québec,Raymond Doray,1
Barreau du Québec,Raymond Doray (AdE),1
Barreau du Québec,Sylvie Champagne,5
Barreau du Québec,Vikki Andrighetti,1
"Belleau, Louis",Antoine Grondin-Couture,1
"Belleau, Louis",Louis Belleau,1
"Belleau, Louis",Louis Belleau (AdE),1
"Benoît, France",Fadi Amine,1
"Benoît, France",Pascale Cloutier,1
Beyond Borders and the Canadian Centre for Child Protection Inc.,David Matas,1
"Black Coalition for AIDS Prevention, Canadian Aboriginal AIDS Network",Corie Langdon,1
"Black Coalition for AIDS Prevention, Canadian Aboriginal AIDS Network",Jonathan A. Shime,1
"Black Coalition for AIDS Prevention, Canadian Aboriginal AIDS Network",Richard Elliott,1
"Black Coalition for AIDS Prevention, Canadian Aboriginal AIDS Network",Ryan Peck,1
"Black Coalition for AIDS Prevention, Canadian Aboriginal AIDS Network",Stéphanie Claivaz-Loranger,1
Black Legal Action Centre,Geetha Philipupillai,1
Black Legal Action Centre,Saneliso Moyo,1
"Bonin, Céline",André Mignault,1
"Bonin, Céline",Louis Belleau (AdE),1
"Bonin, Céline",Luc Jobin,1
"Bourassa, Pierre",Jean Berthiaume,1
"Bourassa, Pierre",Richard Mallette,1
British Columbia Assessment Authority,Colin G. Simkus,1
British Columbia Assessment Authority,R. Bruce Hallsor,1
British Columbia Civil Liberties Association (BCCLA),Abbas A. Kassam,1
British Columbia Civil Liberties Association (BCCLA),Adam Goldenberg,1
British Columbia Civil Liberties Association (BCCLA),Adriel Weaver,2
British Columbia Civil Liberties Association (BCCLA),Akosua Matthews,1
British Columbia Civil Liberties Association (BCCLA),Alex Mok,1
